session.id,tender,processor,gear,fish.number,length,weight,sex,age,gonad,Slide,Lot,Catch.Date,Location,Comments
TOGHER_2020_06_09_14_52_32,Gordan Jensen,icicle,5,3,258,NA,1,6,5,48,4,5/4/2020,Nunavachak,
TOGHER_2020_06_08_12_44_43,Gordan Jensen,icicle,5,2,267,251,1,28,5,1,24,5/8/2020,Nunavachak,
TOGHER_2020_06_08_12_44_43,Gordan Jensen,icicle,5,3,252,189,1,28,5,1,24,5/8/2020,Nunavachak,
TOGHER_2020_06_08_12_44_43,Gordan Jensen,icicle,5,4,231,162,1,4,5,1,24,5/8/2020,Nunavachak,
TOGHER_2020_06_08_12_44_43,Gordan Jensen,icicle,5,5,263,253,2,28,4,1,24,5/8/2020,Nunavachak,
TOGHER_2020_06_09_14_52_32,Gordan Jensen,icicle,5,9,283,NA,1,8,5,48,4,5/4/2020,Nunavachak,
TOGHER_2020_06_08_12_44_43,Gordan Jensen,icicle,5,7,261,221,1,28,4,1,24,5/8/2020,Nunavachak,
TOGHER_2020_06_08_12_44_43,Gordan Jensen,icicle,5,8,251,215,2,4,4,1,24,5/8/2020,Nunavachak,
TOGHER_2020_06_08_12_44_43,Gordan Jensen,icicle,5,9,233,179,2,28,4,1,24,5/8/2020,Nunavachak,
TOGHER_2020_06_08_12_58_32,Gordan Jensen,icicle,5,1,NA,NA,NA,5,NA,NA,NA,,Nunavachak,Did not record after hitting submit. Data lost
TOGHER_2020_06_08_12_58_32,Gordan Jensen,icicle,5,2,NA,NA,NA,5,NA,NA,NA,,Nunavachak,Did not record after hitting submit. Data lost
TOGHER_2020_06_08_12_58_32,Gordan Jensen,icicle,5,10,NA,NA,NA,5,NA,2,24,5/8/2020,Nunavachak,Did not record after hitting submit. Data lost
TOGHER_2020_06_08_12_58_32,Gordan Jensen,icicle,5,3,NA,NA,NA,4,NA,NA,NA,,Nunavachak,Did not record after hitting submit. Data lost
TOGHER_2020_06_08_12_58_32,Gordan Jensen,icicle,5,4,NA,NA,NA,4,NA,NA,NA,,Nunavachak,Did not record after hitting submit. Data lost
TOGHER_2020_06_08_12_58_32,Gordan Jensen,icicle,5,5,NA,NA,NA,28,NA,NA,NA,,Nunavachak,Did not record after hitting submit. Data lost
TOGHER_2020_06_08_12_58_32,Gordan Jensen,icicle,5,6,NA,NA,NA,7,NA,NA,NA,,Nunavachak,Did not record after hitting submit. Data lost
TOGHER_2020_06_08_12_58_32,Gordan Jensen,icicle,5,7,NA,NA,NA,10,NA,NA,NA,,Nunavachak,Did not record after hitting submit. Data lost
TOGHER_2020_06_08_12_58_32,Gordan Jensen,icicle,5,8,NA,NA,NA,30,NA,NA,NA,,Nunavachak,Did not record after hitting submit. Data lost
TOGHER_2020_06_08_12_58_32,Gordan Jensen,icicle,5,9,NA,NA,NA,4,NA,NA,NA,,Nunavachak,Did not record after hitting submit. Data lost
TOGHER_2020_06_09_14_52_32,Gordan Jensen,icicle,5,1,258,NA,2,5,4,48,4,5/4/2020,Nunavachak,
TOGHER_2020_06_09_14_52_32,Gordan Jensen,icicle,5,2,271,NA,1,7,5,48,4,5/4/2020,Nunavachak,
TOGHER_2020_06_10_14_35_27,Gordan Jensen,icicle,5,5,315,557,2,11,5,93,2,5/4/2020,Nunavachak,
TOGHER_2020_06_09_14_52_32,Gordan Jensen,icicle,5,8,251,NA,1,5,5,48,4,5/4/2020,Nunavachak,
TOGHER_2020_06_09_14_52_32,Gordan Jensen,icicle,5,4,266,NA,2,6,4,48,4,5/4/2020,Nunavachak,
TOGHER_2020_06_09_15_08_53,Gordan Jensen,icicle,5,1,272,350,2,11,5,52,4,5/4/2020,Nunavachak,
TOGHER_2020_06_09_10_28_19,Gordan Jensen,icicle,5,3,267,320,2,9,5,30,33,5/9/2020,Nunavachak,
TOGHER_2020_06_09_14_52_32,Gordan Jensen,icicle,5,6,236,NA,1,6,5,48,4,5/4/2020,Nunavachak,
TOGHER_2020_06_08_13_49_23,Gordan Jensen,icicle,5,8,258,233,1,28,5,3,24,5/8/2020,Nunavachak,
TOGHER_2020_06_09_14_52_32,Gordan Jensen,icicle,5,7,260,NA,1,6,5,48,4,5/4/2020,Nunavachak,
TOGHER_2020_06_09_14_42_50,Gordan Jensen,icicle,5,7,267,302,1,5,5,45,4,5/4/2020,Nunavachak,
TOGHER_2020_06_09_16_16_27,Gordan Jensen,icicle,5,3,301,482,2,12,5,57,29,5/8/2020,Nunavachak,mixture of May 8 & May 9 catch date
TOGHER_2020_06_10_15_20_26,Gordan Jensen,icicle,5,8,272,301,1,5,5,96,2,5/4/2020,Nunavachak,
TOGHER_2020_06_09_14_52_32,Gordan Jensen,icicle,5,10,280,NA,2,6,5,48,4,5/4/2020,Nunavachak,
TOGHER_2020_06_10_14_35_27,Gordan Jensen,icicle,5,2,304,434,2,8,5,93,2,5/4/2020,Nunavachak,
TOGHER_2020_06_10_15_32_09,Gordan Jensen,icicle,5,10,265,294,1,5,5,99,3,5/4/2020,Nunavachak,
TOGHER_2020_06_08_14_04_58,Gordan Jensen,icicle,5,6,253,192,1,29,5,4,24,5/8/2020,Nunavachak,
TOGHER_2020_06_09_14_42_50,Gordan Jensen,icicle,5,1,287,408,2,7,5,45,4,5/4/2020,Nunavachak,
TOGHER_2020_06_09_12_05_23,Gordan Jensen,icicle,5,9,296,386,1,12,5,36,44,5/13/2020,Nunavachak,
TOGHER_2020_06_09_15_06_28,Gordan Jensen,icicle,5,4,292,393,2,7,5,51,4,5/4/2020,Nunavachak,
TOGHER_2020_06_09_12_05_23,Gordan Jensen,icicle,5,6,263,292,2,5,5,36,44,5/13/2020,Nunavachak,
TOGHER_2020_06_08_16_38_43,Gordan Jensen,icicle,5,10,289,378,2,10,5,19,5,5/4/2020,Nunavachak,
TOGHER_2020_06_08_14_09_47,Gordan Jensen,icicle,5,2,270,296,2,28,5,5,24,5/8/2020,Nunavachak,
TOGHER_2020_06_10_09_39_50,Gordan Jensen,icicle,5,1,263,292,2,5,5,69,49,5/13/2020,Nunavachak,
TOGHER_2020_06_08_14_09_47,Gordan Jensen,icicle,5,4,232,174,2,4,5,5,24,5/8/2020,Nunavachak,
TOGHER_2020_06_10_14_47_01,Gordan Jensen,icicle,5,6,265,287,2,5,5,95,2,5/4/2020,Nunavachak,
TOGHER_2020_06_10_14_35_27,Gordan Jensen,icicle,5,10,292,382,1,7,5,93,2,5/4/2020,Nunavachak,
TOGHER_2020_06_10_16_17_54,Gordan Jensen,icicle,5,9,264,281,2,5,5,104,3,5/4/2020,Nunavachak,
